rank,Car_ID,Year,Make,Model,Car_Score
1,128,2010,Infiniti,G37,128
2,124,2015,Jeep,Wrangler,124
3,15,2014,Audi,S4,120
4,113,2012,Acura,"Tsx sportwagon",116
5,83,2014,Honda,Accord,112
6,112,2008,Acura,TL,110
7,65,2009,Honda,Fit,106
8,50,2015,Acura,TLX,102
8,31,2007,Honda,Fit,102
8,91,2010,Mitsu,Lancer,102
11,216,2007,Chrystler,300,96
12,228,2010,Nissan,370,92
12,175,2006,Honda,Civic,92
12,126,2010,Volkswagen,Eos,92
12,13,2016,Honda,"Civic 1.5t",92
16,127,2013,Acura,Tsx,86
16,63,2010,Honda,Civic,86
18,161,2012,Nissan,370z,84
18,3,2011,Nissan,370,84
20,180,2011,Volkswagen,Gti,82
21,57,2015,Scion,Frs,80
22,25,2012,Mercedes,C250,78
22,106,2007,Acura,"Tl type s",78
24,36,2016,Subaru,WRX,74
25,178,2009,Honda,Oddesy,72
25,39,2011,Honda,Civic,72
25,103,2010,Acura,Tsx,72
28,84,2012,Mercedes,Cl63amg,70
29,33,2015,Subaru,Sti,68
30,30,2012,Hyundai,Celoster,66
30,123,2006,Lexus,Sc430,66
30,1051,2006,Acura,Tsx,66
33,218,2010,Chevy,Camaro,64
33,41,2012,Acura,Tsx,64
33,158,2007,Nissan,350z,64
36,48,2015,Acura,TLX,62
36,21,2009,Subaru,WRX,62
36,23,1998,Subaru,Legacy,62
36,12,1990,Nissan,240,62
36,38,2017,Hyundai,"Elantra sport",62
41,35,2016,Honda,Civic,60
41,53,2013,Subaru,WRX,60
43,142,1993,Toyota,Supra,58
43,110,2011,Toyota,Camry,58
45,156,2014,Volkswagen,Gli,56
45,115,2001,Honda,Crv,56
47,43,2011,Toyota,"4 Runner",54
47,37,2015,Subaru,Sti,54
47,137,2017,Ford,"Focus rs",54
47,6,2016,Volkswagen,"Golf r",54
51,134,2013,Subaru,WRX,52
51,225,2016,Acura,TLX,52
53,51,2015,Subaru,WRX,50
53,5,2003,Acura,Rsx,50
53,170,2014,Chevy,Cruze,50
53,189,2012,Toyota,"Fj cruiser",50
57,88,2008,Honda,Accord,48
57,104,2014,Honda,"Civic si",48
57,52,2007,Mazda,"Speed 3",48
57,211,2004,Acura,Tsx,48
61,232,2018,Subaru,WRX,46
62,8,1991,Nissan,Skyline,44
62,140,1995,Mitsu,Evo8,44
62,Showcar,2014,Nissan,Gtr,44
62,121,2012,Acura,TL,44
62,118,1993,Honda,Civic,44
62,9,1996,Nissan,240,44
62,122,2011,Infiniti,M37s,44
69,85,2017,Honda,Accord,42
69,153,2017,Subaru,Brz,42
69,56,2009,Volkswagen,Jetta,42
69,49,1997,Acura,Integra,42
69,45,2006,Acura,TL,42
74,222,2015,Lexus,Is250,40
74,207,1993,Honda,"Civic eG",40
74,176,2014,Mitsu,Lancer,40
74,44,2018,Honda,"Civic si",40
74,19,2001,Mitsu,Evo7,40
79,20,2009,Infiniti,G37,38
79,99,2014,Honda,"Civic si",38
79,145,1990,Volkswagen,Gti,38
79,179,2004,Volkswagen,R32,38
79,18,2015,Audi,S3,38
84,200,2016,Subaru,WRX,36
84,162,2014,Nissan,370z,36
84,78,2015,Mazda,6,36
87,10,2001,Nissan,S15,34
87,17,2016,Mercedes,C43,34
89,4341,1992,Nissan,Rps13,32
89,46,2008,Volkswagen,R32,32
89,24,2013,Subaru,BRZ,32
92,7,2014,Nissan,Sentra,30
92,181,2003,Volkswagen,Gti,30
92,120,2014,Ford,"Focus st",30
92,92,2017,Hyundai,"Elantra sport",30
92,11,1991,Nissan,Skyline,30
97,59,2012,Volkswagen,Golf,28
97,116,2008,Audi,A4,28
97,238,1982,Volkswagen,Rabbit,28
97,144,2016,Volkswagen,Gti,28
101,14,1990,Nissan,Skyline,26
101,98,2012,Mercedes,C63,26
101,114,2010,Volkswagen,Gti,26
101,219,2016,Ford,"Focus rs",26
101,141,1993,Mazda,Miata,26
101,187,2007,Subaru,Legacy,26
101,242,2014,Nissan,Maxima,26
108,2,2016,Bmw,M2,24
108,130,2016,Honda,"Civic si",24
108,241,2007,Toyota,Camry,24
108,22,2007,Honda,Civic,24
108,81,2016,Volkswagen,GTI,24
113,163,2013,Mitsu,Ralliart,22
113,93,2005,Acura,TL,22
113,150,2006,Nissan,350z,22
113,100,2006,Volvo,S60r,22
113,172,2014,Bmw,4,22
118,167,2016,Ford,Mystang,20
118,230,2004,Acura,Tsx,20
118,182,2012,Volkswagen,Cc,20
118,235,2013,Scion,Frs,20
122,79,1993,Mazda,Miata,18
122,226,2008,Honda,Accord,18
122,34,2010,Honda,Fit,18
125,183,2005,Volkswagen,Jetta,16
125,89,2014,Honda,"Civic si",16
125,Vip,2008,Volkswagen,Gli,16
128,159,2013,Hyundai,"Gen coupe",14
128,67,2015,Subaru,Sti,14
128,108,2013,Audi,S4,14
128,220,2004,Audi,A4,14
128,186,2012,Volkswagen,Gli,14
128,4,2007,Honda,Civic,14
128,193,2014,Nissan,Ssntra,14
135,177,2005,Volkswagen,"Jetta gli",12
135,95,2004,Infiniti,G35,12
135,76,2005,Subaru,Sti,12
138,68,2013,Nissan,Altima,10
138,102,2015,Honda,Accord,10
138,111,2007,Bmw,328i,10
138,243,2008,Toyota,Matrix,10
138,16,2008,Nissan,350z,10
138,96,2017,Volkswagen,Gti,10
138,138,1990,Mazda,Miata,10
138,94,2004,Volkswagen,Gti,10
138,190,1995,Lexus,Sc300,10
138,237,1987,Volkswagen,Jetta,10
148,184,2010,Volkswagen,Cc,8
148,42,2001,Dodge,Viper,8
148,28,1995,Bmw,318xi,8
148,185,2013,Volkswagen,Jett,8
148,74,2015,Honda,Accord,8
148,69,2018,Subaru,WRX,8
148,86,1996,Volkswagen,Jetta,8
