Car_ID,Year,Make,Model,Car_Score,subrank
127,2013,Acura,Tsx,86,1
106,2007,Acura,"Tl type s",78,2
103,2010,Acura,Tsx,72,3
18,2015,Audi,S3,38,1
116,2008,Audi,A4,28,2
197,2010,Audi,A4,2,3
28,1995,Bmw,318xi,8,1
2,2016,Bmw,M2,24,2
172,2014,Bmw,4,22,3
218,2010,Chevy,Camaro,64,1
170,2014,Chevy,Cruze,50,2
0,2015,Chevy,Camaro,0,3
216,2007,Chrystler,300,96,1
42,2001,Dodge,Viper,8,1
137,2017,Ford,"Focus rs",54,1
120,2014,Ford,"Focus st",30,2
219,2016,Ford,"Focus rs",26,3
175,2006,Honda,Civic,92,1
13,2016,Honda,"Civic 1.5t",92,2
63,2010,Honda,Civic,86,3
30,2012,Hyundai,Celoster,66,1
38,2017,Hyundai,"Elantra sport",62,2
92,2017,Hyundai,"Elantra sport",30,3
122,2011,Infiniti,M37s,44,1
20,2009,Infiniti,G37,38,2
128,2010,Infiniti,G37,128,3
124,2015,Jeep,Wrangler,124,1
123,2006,Lexus,Sc430,66,1
212,2001,Lexus,Is300,6,2
222,2015,Lexus,Is250,40,3
52,2007,Mazda,"Speed 3",48,1
78,2015,Mazda,6,36,2
141,1993,Mazda,Miata,26,3
25,2012,Mercedes,C250,78,1
84,2012,Mercedes,Cl63amg,70,2
17,2016,Mercedes,C43,34,3
140,1995,Mitsu,Evo8,44,1
176,2014,Mitsu,Lancer,40,2
19,2001,Mitsu,Evo7,40,3
228,2010,Nissan,370,92,1
161,2012,Nissan,370z,84,2
3,2011,Nissan,370,84,3
57,2015,Scion,Frs,80,1
235,2013,Scion,Frs,20,2
69,2018,Subaru,WRX,8,1
36,2016,Subaru,WRX,74,2
33,2015,Subaru,Sti,68,3
142,1993,Toyota,Supra,58,1
110,2011,Toyota,Camry,58,2
43,2011,Toyota,"4 Runner",54,3
126,2010,Volkswagen,Eos,92,1
180,2011,Volkswagen,Gti,82,2
184,2010,Volkswagen,Cc,8,3
100,2006,Volvo,S60r,22,1
